step,q,iangle,r1,velocity_scale,chisq
454,1.41142,49.2141,0.129041,479.845,172.436
455,1.41142,49.2141,0.129041,479.845,172.436
456,1.41142,49.2141,0.129041,479.845,172.436
457,1.36964,48.4876,0.124444,489.616,173.554
458,1.39975,48.232,0.130203,491.734,171.905
459,1.3909,49.6602,0.124333,502.718,171.343
460,1.3909,49.6602,0.124333,502.718,171.343
461,1.3909,49.6602,0.124333,502.718,171.343
462,1.3909,49.6602,0.124333,502.718,171.343
463,1.32052,50.6411,0.125558,492.287,171.348
464,1.32052,50.6411,0.125558,492.287,171.348
465,1.32052,50.6411,0.125558,492.287,171.348
466,1.32052,50.6411,0.125558,492.287,171.348
467,1.32052,50.6411,0.125558,492.287,171.348
468,1.35816,49.5077,0.127754,500.586,170.925
469,1.34129,49.0024,0.131177,485.504,171.992
470,1.24113,49.9171,0.132259,486.859,171.921
471,1.24113,49.9171,0.132259,486.859,171.921
472,1.24113,49.9171,0.132259,486.859,171.921
473,1.24113,49.9171,0.132259,486.859,171.921
474,1.24113,49.9171,0.132259,486.859,171.921
475,1.24113,49.9171,0.132259,486.859,171.921
476,1.24131,50.4177,0.129887,490.708,170.994
477,1.24131,50.4177,0.129887,490.708,170.994
478,1.24131,50.4177,0.129887,490.708,170.994
479,1.24131,50.4177,0.129887,490.708,170.994
480,1.24131,50.4177,0.129887,490.708,170.994
481,1.24131,50.4177,0.129887,490.708,170.994
482,1.24131,50.4177,0.129887,490.708,170.994
483,1.24131,50.4177,0.129887,490.708,170.994
484,1.24131,50.4177,0.129887,490.708,170.994
485,1.24131,50.4177,0.129887,490.708,170.994
486,1.24131,50.4177,0.129887,490.708,170.994
487,1.24131,50.4177,0.129887,490.708,170.994
488,1.24131,50.4177,0.129887,490.708,170.994
489,1.24131,50.4177,0.129887,490.708,170.994
490,1.24131,50.4177,0.129887,490.708,170.994
491,1.24131,50.4177,0.129887,490.708,170.994
492,1.24131,50.4177,0.129887,490.708,170.994
493,1.24131,50.4177,0.129887,490.708,170.994
494,1.24131,50.4177,0.129887,490.708,170.994
495,1.24131,50.4177,0.129887,490.708,170.994
496,1.24131,50.4177,0.129887,490.708,170.994
497,1.24131,50.4177,0.129887,490.708,170.994
498,1.24131,50.4177,0.129887,490.708,170.994
499,1.24131,50.4177,0.129887,490.708,170.994
500,1.24131,50.4177,0.129887,490.708,170.994
501,1.24131,50.4177,0.129887,490.708,170.994
502,1.24131,50.4177,0.129887,490.708,170.994
503,1.31415,50.1966,0.126432,489.397,171.435
504,1.31415,50.1966,0.126432,489.397,171.435
505,1.31415,50.1966,0.126432,489.397,171.435
506,1.31415,50.1966,0.126432,489.397,171.435
507,1.31415,50.1966,0.126432,489.397,171.435
508,1.31415,50.1966,0.126432,489.397,171.435
509,1.2428,50.8356,0.124221,485.446,175.579
510,1.31502,51.4216,0.120832,471.329,176.045
511,1.29846,49.8173,0.129943,490.137,171.413
512,1.29846,49.8173,0.129943,490.137,171.413
513,1.34027,50.1887,0.125176,483.596,171.698
514,1.34027,50.1887,0.125176,483.596,171.698
515,1.34027,50.1887,0.125176,483.596,171.698
516,1.28419,51.062,0.12986,483.164,171.97
517,1.37981,51.5858,0.123967,494.219,170.727
518,1.37981,51.5858,0.123967,494.219,170.727
519,1.37981,51.5858,0.123967,494.219,170.727
520,1.38265,49.8156,0.125211,504.582,171.071
521,1.38265,49.8156,0.125211,504.582,171.071
522,1.38265,49.8156,0.125211,504.582,171.071
523,1.34079,49.416,0.128692,502.569,171.029
524,1.34079,49.416,0.128692,502.569,171.029
525,1.34079,49.416,0.128692,502.569,171.029
526,1.31567,50.9417,0.123428,495.721,173.09
527,1.31567,50.9417,0.123428,495.721,173.09
528,1.31567,50.9417,0.123428,495.721,173.09
529,1.31567,50.9417,0.123428,495.721,173.09
530,1.31567,50.9417,0.123428,495.721,173.09
531,1.31567,50.9417,0.123428,495.721,173.09
532,1.31567,50.9417,0.123428,495.721,173.09
533,1.31567,50.9417,0.123428,495.721,173.09
534,1.28064,51.1273,0.125737,505.423,171.769
535,1.28064,51.1273,0.125737,505.423,171.769
536,1.28064,51.1273,0.125737,505.423,171.769
537,1.38062,51.3098,0.126858,510.451,171.71
538,1.38062,51.3098,0.126858,510.451,171.71
539,1.45374,50.1905,0.12583,490.674,171.636
540,1.45374,50.1905,0.12583,490.674,171.636
541,1.45374,50.1905,0.12583,490.674,171.636
542,1.45374,50.1905,0.12583,490.674,171.636
543,1.43905,47.5247,0.122573,491.963,175.176
544,1.43905,47.5247,0.122573,491.963,175.176
545,1.43905,47.5247,0.122573,491.963,175.176
546,1.43905,47.5247,0.122573,491.963,175.176
547,1.43905,47.5247,0.122573,491.963,175.176
548,1.43905,47.5247,0.122573,491.963,175.176
549,1.40154,48.0957,0.12929,501.699,171.244
550,1.34474,47.4557,0.131804,490.156,171.922
551,1.34474,47.4557,0.131804,490.156,171.922
552,1.34474,47.4557,0.131804,490.156,171.922
553,1.34474,47.4557,0.131804,490.156,171.922
554,1.28156,47.8266,0.133072,495.28,171.491
555,1.28156,47.8266,0.133072,495.28,171.491
